"id","name","slug","abbrev","level","parent"
609,Northbridge,northbridge,,l,1
610,Northfield,northfield,,l,1
611,Norton,norton,,l,1
612,Norwell,norwell,,l,1
613,Oak Bluffs,oak-bluffs,,l,1
614,Oakham,oakham,,l,1
615,Orange,orange,,l,1
616,Orleans,orleans,,l,1
617,Otis,otis,,l,1
618,Oxford,oxford,,l,1
619,Paxton,paxton,,l,1
620,Pelham,pelham,,l,1
621,Pembroke,pembroke,,l,1
622,Pepperell,pepperell,,l,1
623,Peru,peru,,l,1
624,Petersham,petersham,,l,1
625,Phillipston,phillipston,,l,1
626,Plainfield,plainfield,,l,1
627,Plainville,plainville,,l,1
628,Plympton,plympton,,l,1
629,Princeton,princeton,,l,1
630,Provincetown,provincetown,,l,1
631,Raynham,raynham,,l,1
632,Rehoboth,rehoboth,,l,1
633,Richmond,richmond,,l,1
634,Rochester,rochester,,l,1
635,Rockland,rockland,,l,1
636,Rockport,rockport,,l,1
637,Rowe,rowe,,l,1
638,Rowley,rowley,,l,1
639,Royalston,royalston,,l,1
640,Russell,russell,,l,1
641,Rutland,rutland,,l,1
642,Salisbury,salisbury,,l,1
643,Sandisfield,sandisfield,,l,1
644,Sandwich,sandwich,,l,1
645,Savoy,savoy,,l,1
646,Scituate,scituate,,l,1
647,Seekonk,seekonk,,l,1
648,Sharon,sharon,,l,1
649,Sheffield,sheffield,,l,1
650,Shelburne,shelburne,,l,1
651,Sherborn,sherborn,,l,1
652,Shirley,shirley,,l,1
653,Shutesbury,shutesbury,,l,1
654,Somerset,somerset,,l,1
655,South Hadley,south-hadley,,l,1
656,Southampton,southampton,,l,1
657,Southborough,southborough,,l,1
658,Southwick,southwick,,l,1
659,Spencer,spencer,,l,1
660,Stockbridge,stockbridge,,l,1
661,Stoneham,stoneham,,l,1
662,Stoughton,stoughton,,l,1
663,Stow,stow,,l,1
664,Sturbridge,sturbridge,,l,1
665,Sudbury,sudbury,,l,1
666,Sunderland,sunderland,,l,1
667,Sutton,sutton,,l,1
668,Swampscott,swampscott,,l,1
